medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_postcode,pickup_neighborhood,pickup_hour,dropoff_postcode,dropoff_neighborhood,dropoff_hour
2DBC1E95106344420C9818DA00FEA9AC,D6259BBCDAF1C4E86C4A78BAB64893C6,VTS,1,,2013-01-13 02:08:00,2013-01-13 02:17:00,1,540,.75,-73.984215,40.695114,-73.988113,40.727917,11201,Downtown Brooklyn,02,10003,East Village,
C13BD886F362AC4D71FEB912091AB76A,D4EF1FE883D7CB06F581F56153386A2E,VTS,1,,2013-01-13 02:05:00,2013-01-13 02:16:00,1,660,2.98,-73.937584,40.758011,-73.937584,40.758011,11101,Long Island City,02,11101,Long Island City,
0B08B8A356D5BC186404066DB6EC0997,7325FC900F4DE966CEC7675E03FB971F,VTS,1,,2013-01-13 02:12:00,2013-01-13 02:17:00,1,300,1.03,-73.980118,40.764507,-73.989388,40.763,10019,San Juan Hill,02,10019,Midtown West,
4D9B12EA20D314D0A414D7FE1EEE4FE4,FC2F8A825A9638CAEF004CB2910ED08C,VTS,1,,2013-01-13 02:24:00,2013-01-13 02:28:00,5,240,.44,-73.990463,40.718903,-73.98587,40.722481,10002,Lower East Side,02,10009,Loisaida,
A9E22F4F0B915490024152E22B2BE2C6,66826186BB8BF15BCABB6F78E10831B0,VTS,1,,2013-01-13 02:08:00,2013-01-13 02:17:00,2,540,2.05,-74.002403,40.734364,-74.008354,40.709839,10014,Greenwich Village,02,10038,Southbridge Towers,
9079F6E770FAA2221AB92F2D26E1DE22,DDD1C1027CBCCF458F4C2DD948ECFB89,VTS,1,,2013-01-13 02:13:00,2013-01-13 02:19:00,1,360,1.44,-74.002472,40.750153,-73.98674,40.761429,10001,Hell's Kitchen,02,10019,San Juan Hill,
455853347D3BB7FABDD1FE87016DE741,E9DC1ACEF4E8E1DF83CD5196FD296012,VTS,1,,2013-01-13 03:52:00,2013-01-13 03:55:00,6,180,1.60,-73.968628,40.760983,-73.955368,40.776878,10022,Diamond District,03,10028,Yorkville,
B65FA1744EEB0CA74CBFCEF42534F998,E3187B0F31077C7746305C8EC5970A59,VTS,1,,2013-01-13 03:49:00,2013-01-13 03:56:00,1,420,1.64,-73.983742,40.667969,-73.966576,40.675461,11215,Park Slope,03,11238,Prospect Heights,
D225B988186CB582C18391E1FE074B93,FFEB80F39533ACF27F3124A39BB05E1E,VTS,1,,2013-01-13 03:47:00,2013-01-13 03:55:00,1,480,2.67,-73.98243,40.747551,-73.976463,40.775497,10016,Murray Hill,03,10023,Lincoln Towers,
9D12D181777ED1A363D928A5FB08CFA2,0FBC060089878DD344430C57DE651371,VTS,1,,2013-01-13 03:56:00,2013-01-13 03:57:00,6,60,.00,-73.983276,40.696236,-73.983253,40.696178,11201,Downtown Brooklyn,03,11201,Downtown Brooklyn,
